,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Tempurature (F),Wind Speed (mph)
84,Mount Isa,AU,1578078131,-20.73,139.49,0,54,80.6,5.82
85,Tuktoyaktuk,CA,1578078133,69.44,-133.03,75,75,-18.4,13.87
86,Cherskiy,RU,1578078134,68.75,161.3,9,65,1.36,11.05
87,Tuatapere,NZ,1578078135,-46.13,167.69,81,80,46.99,15.01
88,Inongo,CD,1578078136,-1.93,18.29,66,49,75.15,1.48
89,Nabire,ID,1578078137,-3.36,135.5,99,99,72.82,1.36
90,Lompoc,US,1578078005,34.64,-120.46,1,62,69.01,11.54
91,Khatanga,RU,1578078139,71.98,102.47,100,98,-4.09,6.87
92,Airai,TL,1578078140,-8.93,125.41,100,91,68.74,3.0
93,Barra Patuca,HN,1578078141,15.8,-84.28,100,72,81.73,15.48
94,Acari,BR,1578078143,-6.44,-36.64,12,29,93.99,12.55
95,Torbay,CA,1578078144,47.66,-52.73,75,86,33.01,29.97
96,Severo-Kurilsk,RU,1578078145,50.68,156.12,74,79,13.77,2.01
97,Kattivakkam,IN,1578078146,13.22,80.32,40,88,81.0,4.7
98,Chico,US,1578077900,39.73,-121.84,75,75,57.0,5.82
99,Dikson,RU,1578078148,73.51,80.55,90,95,-2.22,19.35
100,Mulchen,CL,1578078149,-37.72,-72.23,0,31,89.6,23.04
101,Sangar,RU,1578078150,63.92,127.47,74,87,-21.24,13.67
102,Rio Grande,BR,1578078023,-32.03,-52.1,75,51,82.4,16.11
103,Santa Fe,AR,1578078153,-31.62,-60.7,0,31,91.0,4.0
104,Zhigalovo,RU,1578078154,54.81,105.15,100,92,13.91,4.0
105,Kaitangata,NZ,1578078155,-46.28,169.85,96,69,49.39,37.76
106,Lagoa,PT,1578078156,37.14,-8.45,75,72,59.0,6.93
107,Alofi,NU,1578078157,-19.06,-169.92,20,94,71.6,1.12
108,Nizhnyaya Poyma,RU,1578078158,56.16,97.2,51,74,23.58,10.02
109,Seelze,DE,1578078160,52.4,9.59,75,93,46.99,23.04
110,Glen Allen,US,1578078161,37.67,-77.51,1,93,59.0,8.05
111,Doha,QA,1578078162,25.29,51.53,0,88,73.4,9.17
112,Taoudenni,ML,1578078163,22.68,-3.98,70,17,64.27,12.24
113,Yar-Sale,RU,1578078103,66.83,70.83,100,95,4.98,11.41
114,Yellowknife,CA,1578077926,62.45,-114.38,90,84,5.0,11.41
115,Narsaq,GL,1578078166,60.91,-46.05,75,32,37.4,38.03
116,Sironj,IN,1578078168,24.1,77.69,9,76,54.73,4.29
117,Moussoro,TD,1578078169,13.64,16.49,0,22,65.61,13.31
118,Kuching,MY,1578078170,1.56,110.34,75,94,78.8,5.82
119,Petropavlovsk-Kamchatskiy,RU,1578078171,53.05,158.65,40,92,6.8,2.24
120,Nome,US,1578078172,30.04,-94.42,40,68,71.6,8.05
121,Port Elizabeth,US,1578078173,39.31,-74.98,90,87,53.01,6.93
122,Chokurdakh,RU,1578078174,70.62,147.9,28,94,-17.82,4.61
123,Bonavista,CA,1578078175,48.65,-53.11,6,84,31.15,14.67
124,Hasaki,JP,1578078176,35.73,140.83,20,66,33.8,3.36
125,Norman Wells,CA,1578078178,65.28,-126.83,90,76,-11.2,9.17
126,Boyolangu,ID,1578078179,-8.09,111.9,76,89,75.45,1.79
127,Kavieng,PG,1578078180,-2.57,150.8,93,70,84.24,0.43
128,Paranaiba,BR,1578078181,-19.68,-51.19,20,59,87.87,7.27
129,Mahebourg,MU,1578078182,-20.41,57.7,40,88,78.8,7.27
130,Mar del Plata,AR,1578078086,-46.43,-67.52,79,20,87.33,40.4
131,Markova,RU,1578078184,52.21,104.21,34,92,17.6,4.47
132,Jacksonville,US,1578078042,30.33,-81.66,90,65,84.2,11.41
133,Manuk Mangkaw,PH,1578078187,4.8,119.85,100,79,81.18,11.88
134,Vanimo,PG,1578078188,-2.67,141.3,100,76,83.5,20.13
135,Porto Novo,BR,1578078189,-23.68,-45.44,75,69,75.2,13.87
136,Tautira,PF,1578078190,-17.73,-149.15,40,70,84.2,16.11
137,Mbuji-Mayi,CD,1578078191,-6.13,23.6,75,88,73.4,9.17
138,Coahuayana,MX,1578078192,18.62,-100.35,100,45,84.56,2.68
139,Broken Hill,AU,1578078193,-31.97,141.45,0,10,84.2,13.87
140,Nipawin,CA,1578078194,53.36,-104.02,90,79,23.0,5.82
141,Kalmunai,LK,1578078196,7.42,81.82,0,79,81.84,8.28
142,Roebourne,AU,1578078020,-20.77,117.15,0,74,82.26,5.19
143,Pimentel,BR,1578078198,-3.7,-45.5,81,76,85.41,3.85
144,Margate,AU,1578078199,-43.03,147.26,98,59,66.0,11.41
145,San Pedro,AR,1578078200,-33.68,-59.66,0,24,82.0,8.01
146,Saldanha,PT,1578078201,41.42,-6.55,36,93,43.16,1.97
147,Sao Filipe,CV,1578078202,14.9,-24.5,100,72,72.54,10.63
148,Gloversville,US,1578078203,43.05,-74.34,40,80,46.99,2.82
149,Codrington,AU,1578078205,-28.95,153.24,0,93,66.2,2.64
150,Kindu,CD,1578078206,-2.95,25.92,83,97,72.19,3.42
151,Pangai,TO,1578078207,-19.8,-174.35,20,73,77.0,10.16
152,Ambanja,MG,1578078208,-13.68,48.45,100,79,80.06,7.54
153,Caloundra,AU,1578078209,-26.8,153.14,40,88,71.01,5.82
154,Labytnangi,RU,1578078210,66.66,66.39,100,97,2.25,1.54
155,Madinat Sittah Uktubar,EG,1578078211,29.82,31.05,0,48,53.6,20.8
156,Nelson Bay,AU,1578078212,-32.72,152.14,0,94,71.01,1.12
157,Marawi,PH,1578078214,8.0,124.29,90,89,71.01,4.0
158,Asbestovskiy,RU,1578078215,57.76,61.4,100,84,20.89,13.4
159,Quatre Cocos,MU,1578078216,-20.21,57.76,40,88,78.8,11.1
160,Hobyo,SO,1578078217,5.35,48.53,20,74,77.16,16.8
161,Stykkisholmur,IS,1578078218,65.08,-22.73,37,72,13.42,4.88
162,Corralillo,CU,1578078219,22.98,-80.59,100,64,82.47,9.93
163,Port Augusta,AU,1578078220,-32.49,137.76,4,61,70.0,4.0
164,Barra,GM,1578078221,13.49,-16.54,94,42,86.0,7.87
165,Araouane,ML,1578078223,18.9,-3.53,19,16,63.36,10.51
166,Hithadhoo,MV,1578078031,-0.6,73.08,40,68,83.41,4.36
167,Mandan,US,1578078225,46.83,-100.89,20,68,26.6,16.11
168,Bathsheba,BB,1578078226,13.22,-59.52,20,55,86.0,11.41
169,Vangaindrano,MG,1578078227,-23.35,47.6,56,94,73.62,3.71
170,Portlethen,GB,1578078228,57.05,-2.13,75,69,42.8,13.87
171,Kathu,ZA,1578078229,-27.7,23.05,94,66,73.99,7.78
172,Biltine,TD,1578078230,14.53,20.93,0,24,68.85,16.06
173,Ribeira Grande,PT,1578078231,38.52,-28.7,75,82,62.6,11.41
174,Ixtapa,MX,1578078233,20.71,-105.21,5,46,75.0,4.21
175,Tasiilaq,GL,1578078184,65.61,-37.64,40,52,17.6,20.8
176,Koslan,RU,1578078235,63.46,48.9,100,97,33.55,14.41
177,Manakara,MG,1578078236,-22.14,48.01,60,90,76.77,2.55
178,Ola,RU,1578078237,59.58,151.3,100,75,18.77,40.35
179,Poum,MK,1578078238,41.28,20.71,0,68,28.4,2.24
180,Fairbanks,US,1578078041,64.84,-147.72,40,75,-5.01,3.18
181,Boshnyakovo,RU,1578078241,49.65,142.17,100,86,7.21,16.93
182,Slantsy,RU,1578078242,59.12,28.09,100,85,40.91,17.9
183,Ponta do Sol,BR,1578078243,-20.63,-46.0,48,64,81.95,3.11
184,Antofagasta,CL,1578078125,-23.65,-70.4,20,68,71.6,16.11
185,Kropotkin,RU,1578078245,45.43,40.58,78,66,39.0,6.53
186,Avarua,CK,1578077960,-21.21,-159.78,32,74,78.8,3.36
187,Paamiut,GL,1578078184,61.99,-49.67,100,61,32.52,7.31
188,Provideniya,RU,1578078249,64.42,-173.23,0,69,-13.4,9.37
189,Pihani,IN,1578078250,27.62,80.2,58,90,57.27,2.68
190,Ngorongoro,TZ,1578078251,-3.24,35.49,87,75,63.88,4.9
191,Mogadishu,SO,1578078252,2.04,45.34,59,82,81.39,23.89
192,Hofn,IS,1578078253,64.25,-15.21,30,53,23.0,20.8
193,Katherine,AU,1578078254,-14.47,132.26,100,88,77.0,6.93
194,Tokomaru,NZ,1578078255,-40.47,175.51,41,81,62.01,1.68
195,Saint George,GR,1578078256,39.45,22.34,20,64,42.01,4.7
196,Roald,NO,1578078257,62.58,6.12,75,64,35.6,25.28
197,Knysna,ZA,1578078259,-34.04,23.05,75,88,69.8,6.93
198,Damietta,EG,1578078260,31.42,31.81,40,71,53.6,11.41
199,Kruisfontein,ZA,1578078261,-34.0,24.73,42,88,67.64,8.41
200,Nouadhibou,MR,1578078262,20.93,-17.03,0,37,71.6,10.29
201,Leningradskiy,RU,1578078263,69.38,178.42,10,77,-8.79,13.71
202,Udankudi,IN,1578078264,8.43,78.03,0,85,79.18,6.76
203,Basoko,CD,1578078265,1.23,23.61,93,53,78.46,0.72
204,Moindou,NC,1578078267,-21.69,165.68,0,77,69.8,1.12
205,Palana,RU,1578078268,59.08,159.95,100,65,24.67,32.86
206,Genhe,CN,1578078269,50.78,121.52,0,93,-14.15,1.83
207,Ban Nahin,LA,1578078270,18.24,104.21,26,84,66.18,3.62
208,Basco,US,1578078271,40.33,-91.2,90,86,37.0,5.82
209,Tevriz,RU,1578078272,57.51,72.4,43,93,2.98,8.46
210,Rio Gallegos,AR,1578078273,-51.62,-69.22,75,81,48.2,10.29
211,North Myrtle Beach,US,1578078274,33.83,-78.68,40,83,80.01,19.46
212,Longyearbyen,NO,1578078275,78.22,15.63,20,60,6.8,17.22
213,Aykhal,RU,1578078277,65.95,111.51,0,75,-14.8,2.24
214,Shikarpur,PK,1578078024,27.96,68.63,0,62,53.6,2.06
215,Tessalit,ML,1578078279,20.2,1.01,42,22,60.8,12.48
216,Santana do Matos,BR,1578078280,-5.95,-36.65,9,30,94.87,11.21
217,Ciudad Bolivar,VE,1578078073,8.12,-63.55,49,37,90.59,7.23
218,Kahului,US,1578078282,20.89,-156.47,75,94,71.6,9.17
219,Saint-Pierre,FR,1578078283,48.95,4.24,90,100,50.0,12.75
220,Elizabeth City,US,1578078285,36.3,-76.22,90,100,73.4,8.05
221,Fallon,US,1578078286,46.84,-105.12,1,53,33.01,14.99
222,Karratha,AU,1578078287,-20.74,116.85,0,76,84.02,9.84
223,Stephenville,CA,1578078288,48.55,-58.59,75,74,30.2,17.22
224,Lorengau,PG,1578078066,-2.02,147.27,100,74,83.82,4.32
225,Tommot,RU,1578078290,58.97,126.27,100,97,1.72,2.35
226,Guerrero Negro,MX,1578078291,27.97,-114.04,1,31,64.51,1.1
227,Clyde River,CA,1578078292,70.47,-68.59,75,67,-22.0,13.87
228,Grand Gaube,MU,1578078293,-20.01,57.66,40,88,78.8,11.79
229,Kiruna,SE,1578078295,67.86,20.23,83,79,21.2,11.41
230,Geraldton,CA,1578078296,49.72,-86.95,90,78,17.6,4.7
231,Seydi,NE,1578078297,13.34,7.75,37,19,68.0,9.17
232,Lucapa,AO,1578078298,-8.42,20.74,100,95,68.72,1.3
233,Bethel,US,1578078042,60.79,-161.76,1,83,-9.4,12.75
234,Monte Plata,DO,1578078301,18.81,-69.79,40,58,87.8,16.11
235,Los Llanos de Aridane,ES,1578078302,28.66,-17.92,20,55,66.2,4.7
236,Rokytne,UA,1578078303,51.27,27.23,16,85,29.68,8.75
237,Dedza,MW,1578078304,-14.38,34.33,100,93,65.39,1.45
238,Byron Bay,AU,1578078041,-28.65,153.62,40,83,70.0,5.82
239,Chuy,UY,1578078306,-33.69,-53.46,30,57,76.14,14.97
240,Namatanai,PG,1578078307,-3.66,152.44,93,73,83.44,1.74
241,Marzuq,YE,1578078309,14.4,46.47,0,80,65.03,6.91
242,Formosa,BR,1578078310,-15.55,-47.33,97,77,77.54,6.24
243,Dicabisagan,PH,1578078311,17.08,122.42,88,87,73.15,10.78
244,Papara,BR,1578078312,-3.98,-38.73,20,66,86.0,12.75
245,Praia da Vitoria,PT,1578078313,38.73,-27.07,20,72,62.6,12.33
246,Bage,IN,1578078314,12.95,75.85,1,82,68.67,3.53
247,Egvekinot,RU,1578078315,66.32,-179.17,0,75,-13.43,10.31
248,Kavaratti,IN,1578078317,10.57,72.64,71,81,81.27,15.52
249,Tessaoua,NE,1578078318,13.76,7.99,9,19,61.47,13.31
250,Cidreira,BR,1578078319,-30.17,-50.22,8,77,73.24,20.87
251,Victoria,BN,1578078320,5.28,115.24,75,78,82.4,8.05
252,Yeppoon,AU,1578078321,-23.13,150.74,40,73,71.6,5.82
253,Chute-aux-Outardes,CA,1578078322,49.12,-68.38,90,86,30.99,4.7
254,Nizwa,OM,1578078323,22.93,57.53,0,46,64.8,0.47
255,Southbridge,US,1578078324,42.08,-72.03,90,60,50.0,6.93
256,Lavrentiya,RU,1578078325,65.58,-170.99,64,94,-16.13,8.84
257,Maceio,BR,1578078326,-9.67,-35.74,20,62,87.8,18.34
258,Saint-Joseph,FR,1578078327,43.56,6.97,100,87,52.0,3.36
259,Tezu,IN,1578078329,27.93,96.16,100,98,56.19,1.88
260,Muzaffarabad,PK,1578078330,34.37,73.47,100,84,32.97,2.66
261,Cap Malheureux,MU,1578078331,-19.98,57.61,40,88,78.8,11.79
262,Mount Gambier,AU,1578078188,-37.83,140.78,10,77,64.4,5.82
263,Hambantota,LK,1578078333,6.12,81.12,5,100,75.2,3.36
264,Kashan,IR,1578078334,33.99,51.44,14,56,46.08,2.1
265,Zhezkazgan,KZ,1578078337,47.8,67.71,99,97,26.02,6.08
266,Stara Vyzhivka,UA,1578078338,51.44,24.44,0,78,31.41,11.3
267,Pouebo,NC,1578078339,-20.4,164.57,0,91,67.15,3.98
268,Ekhabi,RU,1578078340,53.51,142.97,98,99,-2.54,4.38
269,Bayji,IQ,1578078341,34.93,43.49,53,55,52.32,2.35
270,Kachug,RU,1578078342,53.96,105.89,99,90,10.11,1.07
271,Cabedelo,BR,1578078343,-6.97,-34.84,40,62,86.0,13.87
272,Svetlogorsk,RU,1578078344,53.14,59.15,75,78,17.6,17.9
273,Freeport,BS,1578078346,26.54,-78.7,75,78,80.6,12.75
274,Chifeng,CN,1578078347,42.27,118.96,29,49,18.72,8.57
275,Atambua,ID,1578078348,-9.11,124.89,94,88,75.24,1.66
276,Rawson,AR,1578078349,-43.3,-65.11,6,56,70.9,16.04
277,Puri,ID,1578078350,-7.54,112.45,100,87,76.78,7.16
278,Dingle,PH,1578078351,11.0,122.67,77,95,72.52,10.0
279,Arraial do Cabo,BR,1578078341,-22.97,-42.02,75,83,80.6,13.87
280,New Iberia,US,1578078353,30.0,-91.82,90,100,61.0,3.36
281,Alegrete,BR,1578078355,-29.79,-55.79,0,31,88.09,17.09
282,Wattegama,LK,1578078356,7.35,80.68,45,97,71.47,2.17
283,San Quintin,PH,1578078357,17.54,120.52,45,77,67.32,7.05
284,Kushima,JP,1578078359,31.5,131.29,0,86,41.0,8.99
285,Kendrapara,IN,1578078360,20.5,86.42,90,100,62.6,4.05
286,Ngaoundere,CM,1578078361,7.32,13.58,0,42,64.4,5.95
287,Saint-Leu,RE,1578078362,-21.15,55.28,90,83,77.0,1.12
288,Vondrozo,MG,1578078363,-22.82,47.32,46,93,74.79,1.5
289,Nurota,UZ,1578078364,40.56,65.69,24,93,41.0,11.41
290,Gustavo Diaz Ordaz,MX,1578078366,24.01,-104.69,5,34,53.01,8.05
291,Eureka,US,1578078367,40.8,-124.16,1,76,53.01,9.17
292,Tiksi,RU,1578078368,71.64,128.87,38,76,-23.55,5.53
293,North Bend,US,1578078306,43.41,-124.22,1,71,54.0,3.36
294,Tilichiki,RU,1578078370,60.47,166.1,38,80,0.09,7.76
295,Svetlaya,RU,1578078371,46.54,138.33,0,62,7.95,10.89
296,Labuhan,ID,1578078372,-2.54,115.51,100,95,73.85,1.19
297,Esna,RO,1578078373,45.2,27.57,5,74,30.2,5.82
298,Sorland,NO,1578078374,67.67,12.69,90,87,37.4,21.92
299,Gualeguay,AR,1578078376,-33.15,-59.31,0,28,88.52,10.29
300,Zaozhuang,CN,1578078377,34.86,117.55,50,67,37.83,1.03
301,Buala,SB,1578078378,-8.15,159.59,91,80,80.19,3.62
302,Penzance,GB,1578078141,50.12,-5.53,1,75,48.0,11.41
303,Tiznit,MA,1578078380,29.7,-9.73,97,47,55.29,4.47
304,Tabuk,PH,1578078381,17.41,121.44,43,90,65.82,4.12
305,Milagro,EC,1578078382,-2.13,-79.59,75,55,87.8,4.7
306,Ostersund,SE,1578078383,63.18,14.64,38,68,27.0,23.04
307,Sovetskiy,RU,1578078385,56.76,48.47,100,93,32.77,17.09
308,Port-Gentil,GA,1578078386,-0.72,8.78,40,94,80.6,6.93
309,Batagay,RU,1578078387,67.65,134.64,100,94,-20.99,2.24
310,Hwange,ZW,1578078388,-18.35,26.5,84,74,74.97,2.71
311,Motygino,RU,1578078389,58.18,94.69,100,94,25.29,10.65
312,Kargil,PK,1578078390,34.56,76.13,100,100,-4.63,0.58
313,Gari,RU,1578078391,59.43,62.35,100,85,19.53,15.57
314,Belyy Yar,RU,1578078393,53.6,91.39,87,78,15.8,2.24
315,Stolin,BY,1578078394,51.89,26.85,38,84,30.45,10.36
316,Marystown,CA,1578078395,47.17,-55.16,100,100,35.01,10.0
317,Llangefni,GB,1578078396,53.26,-4.31,59,75,46.4,16.11
318,Ahipara,NZ,1578078397,-35.17,173.16,52,100,61.0,22.88
319,Saint-Augustin,CA,1578078398,45.63,-73.98,90,80,42.01,8.05
320,Juterbog,DE,1578078399,51.98,13.08,75,87,45.0,13.87
321,Vardo,US,1578078400,39.62,-77.74,90,93,52.0,3.2
322,Vao,EE,1578078402,59.1,26.19,100,92,40.91,15.7
323,Harper,US,1578078403,30.3,-99.24,90,44,62.01,14.99
324,High Rock,BS,1578078404,26.63,-78.28,75,78,80.6,12.75
325,Uarini,BR,1578078405,-2.98,-65.16,75,52,91.4,5.82
326,Besancon,FR,1578078164,47.25,6.02,90,93,46.4,10.29
327,Oistins,BB,1578078407,13.07,-59.53,20,55,86.0,11.41
328,Makakilo City,US,1578078408,21.35,-158.09,75,88,75.2,5.82
329,Puerto Rico,CO,1578078409,1.91,-75.15,2,49,86.7,4.79
330,Esperance,AU,1578078410,-33.86,121.89,8,71,51.8,4.7
331,Leshukonskoye,RU,1578078412,64.9,45.76,100,98,34.05,11.18
332,Port-Cartier,CA,1578078413,50.03,-66.88,40,67,24.01,3.36
333,Axim,GH,1578078414,4.87,-2.24,56,44,79.92,5.23
334,Springdale,US,1578078415,36.19,-94.13,75,76,48.2,10.29
335,College,US,1578078416,64.86,-147.8,40,75,-5.01,3.87
336,Khuzdar,PK,1578078417,27.8,66.62,23,72,47.01,5.1
337,Bud,NO,1578078418,62.91,6.91,75,74,33.8,51.67
338,Iquique,CL,1578078419,-20.22,-70.14,76,57,77.0,19.46
339,Kushiro,JP,1578078420,43.11,144.15,13,61,18.59,9.55
340,Boende,CD,1578078422,-0.28,20.88,42,40,76.96,0.4
341,Totma,RU,1578078423,59.98,42.76,100,89,32.25,13.4
342,Fornosovo,RU,1578078424,59.57,30.55,90,86,41.0,13.42
343,Chapleau,CA,1578078425,47.85,-83.4,90,86,26.6,6.93
344,Nicoya,CR,1578078426,10.15,-85.45,20,46,91.4,5.82
345,Bonfim,GY,1578078427,3.36,-59.84,29,28,95.85,11.5
346,Hastings,NZ,1578078428,-39.64,176.84,0,65,56.53,12.75
347,Qiongshan,CN,1578078429,20.01,110.35,94,93,66.2,6.71
348,Ust-Tsilma,RU,1578078430,65.44,52.15,100,98,33.96,9.78
349,Channel-Port aux Basques,CA,1578078432,47.57,-59.14,74,86,29.41,18.34
350,Swadlincote,GB,1578078183,52.77,-1.56,75,81,44.01,11.41
351,Monywa,MM,1578078434,22.12,95.13,100,65,70.68,6.85
352,Yazman,SY,1578078435,36.74,38.46,100,73,48.15,10.02
353,Itoman,JP,1578078436,26.12,127.67,20,77,60.8,4.7
354,Vila Velha,BR,1578078437,-3.71,-38.6,20,66,86.0,12.75
355,Lithgow,AU,1578078438,-33.48,150.16,0,88,75.99,4.07
356,Safranbolu,TR,1578078439,41.25,32.69,43,83,26.76,1.28
357,Ngunguru,NZ,1578078440,-35.62,174.5,79,71,63.0,5.99
358,Kiama,AU,1578078441,-34.67,150.86,0,100,70.0,8.81
359,Synya,RU,1578078443,65.37,58.04,100,90,21.94,12.86
360,Ilulissat,GL,1578078444,69.22,-51.1,40,41,19.4,2.24
361,Korhogo,CI,1578078445,9.46,-5.63,28,12,79.99,5.41
362,Rio Cuarto,AR,1578078446,-33.13,-64.35,20,48,84.2,21.92
363,Kalamazoo,US,1578078447,42.29,-85.59,90,69,39.2,6.93
364,Upernavik,GL,1578078448,72.79,-56.15,100,99,-5.24,13.89
365,Gladstone,AU,1578078449,-23.84,151.26,40,73,73.4,4.7
366,Juruti,BR,1578078450,-2.16,-56.09,96,67,82.04,5.75
367,Avera,US,1578078452,33.19,-82.53,75,65,78.8,17.22
368,Adrar,DZ,1578078453,27.87,-0.29,25,18,59.0,11.41
369,Aksu,KZ,1578078454,52.04,76.93,90,92,26.6,8.95
370,Port Lincoln,AU,1578078455,-34.72,135.86,91,74,64.74,12.15
371,Mehamn,NO,1578078456,71.03,27.85,85,79,32.0,6.93
